一年级
pen 钢笔 
pencil 铅笔 
ruler 尺子 
eraser 橡皮
crayon 蜡笔
book 书
bag 书包
sharpener 卷笔刀
school 学校
head 头
face 脸 
nose 鼻子
mouth 嘴
eye 眼睛
ear 耳朵
arm 胳膊
finger 手指
leg 腿
foot 脚
body 身体
red 红色的
yellow 黄色的
green 绿色的
blue 蓝色的
purple 紫色的
white 白色的
black 黑色的
orange 橙色的
pink 粉色的
brown 棕色的
cat 猫
dog 狗
monkey 猴子
panda 熊猫
rabbit 兔子
duck 鸭子
pig 猪
bird 鸟
bear 熊
elephant 大象
mouse 老鼠
squirrel 松鼠
cake 蛋糕
bread 面包
hamburger 汉堡包
chicken 鸡肉
Coke 可乐
juice 果汁
milk 牛奶
water 水
tea 茶
coffee 咖啡
one 一
two 二
three 三
four 四
five 五
six 六
seven 七
eight 八
nine 九
ten 十
doll 玩具娃娃
boat 小船
ball 球
kite 风筝
balloon 气球
car 小汽车
plane 飞机

name 名字
class 班
good 好的
new 新的
from 从
we 我们
chair 椅子
wall 墙
box 盒子
floor 地板
at 在
zoo 动物园
park 公园
classroom 教室
factory 工厂
square 广场
capital 首都
China 中国
love 爱
motherland 祖国
has 有
star 星
our 我们的
national 国家的
cap 帽子
coat 上衣
have 有
long 长的
short 短的
big 大的
small 小的
or 或, 还是
guess 猜
hey 嗨
tall 高的
old 老的
young 年轻的
Chinese 中国的;汉语;中国人
English 英国的;英语;英国人
over 越(过) 
there 那儿
American 美国的,美国人
other 另外的
an 一(个) 
apple 苹果
orange 桔子
hand 手
egg 蛋
umbrella 伞
home 家
rain 雨;下雨
now 现在
much 许多
eleven 十一
twelve 十二
minus 减
here 这儿
money 钱
they 他(她，它)们 
twenty 二十
these 这些
those 那些
door 门
window 窗
picture 图画
talk 说话，谈论
about 关于
flower 花
some 一些
lake 湖
skirt 裙子
clean 清洁的
shirt (男式)衬衫
dirty 脏的
cup 杯子
glass 玻璃杯
sure 当然，一定
and 和
grade 年级
maths 数学
your 你们的
their 他(她，它)们的 
pioneer 先锋
scarf 围巾
both 两
all 全部，都
peasant 农民
soldier 士兵
doctor 医生
play 玩
do 做
pingpong 乒乓 
right 对的
join 参加
them 他(她，它)们(宾格) 

二年级
paper 纸['peipə] 
piece 片[pi:s]
ink 墨水[iŋk] 
bottle 瓶['bɔtl] 
give 给[ɡiv]
me 我(宾格) [mi: ] 
please 请[pli:z] 
thank 谢谢[θæŋk]
want 要[wɔ:nt] 
write 写[rait] 
letter 信['letə]
any 任何['eni] 
Thanks 谢谢
go 去[ɡəu] 
open 开 ['əupən]
close 关[kləuz] 
blackboard 黑板 ['blækbɔ:d]
clean 把…弄干净[kli:n] 
football 足球 ['fut,bɔ:l]
match 比赛[mætʃ] 
between 在(两者)之间[bi'twi:n] 
time 时候[taim]
but 但是[bʌt] 
jacket 外衣，夹克['dʒækit]
basketball 篮球['bɑ:skitbɔ:l] 
TV 电视 
radio 收音机['reidiəu]
bat 球拍[bæt] 
maybe 也许，可能['meibi]
knife 小刀[naif] 
sorry 对不起，抱歉
for 为[ fɔ: ] 
can 能够[kæn] 
make 做，制作[meik]
near 靠近[niə] 
playground 操场['pleiɡraund] 
model 模型['mɔdəl]
sky 天空 [skai]
bright 明亮的[brait] 
above 在…上方[ə'bʌv]
slogan 标语，口号['sləuɡən] 
world 世界[wə:ld] 
many 许多['meni]
lesson 功课 ['lesən] 
like 喜欢[laik]
table 桌子['teibl] 
let 让[let] 
us 我们(宾格) [ʌs]
toy 玩具[tɔi] 
fly 飞[flai]
house 房子[haus] 
tree 树[tri:] 
river 河流 ['rivə]
front 前面，前部[frʌnt]
then 那么，然后[ðen] 
cow 母牛[kau]
behind 在..后面[bi'haind] 
goose 鹅[ɡu:s] 
geese 鹅(复数) [ɡi:s]
moon 月亮[mu:n] 
air 空气[εə] 
mountain 山['mauntin]
think 想，认为[θiŋk] 
so 这样，这么，所以['səu]
animal 动物['æniməl] 
life 生命，生活[laif] 
which 哪一个 [hwitʃ]
nineteen 十九[,nain'ti:n] 
thirty 三十['θə:ti]
twenty one 二十一['twenti'wʌn] 
thirty three三十三['θə:ti'θri:]
Miss 女士,小姐[mis] 
people 人，人民['pi:pl] 
family 家，家庭['fæmili]
day 白天[dei] 
week 周，星期[wi:k] 
today 今天[tə'dei]
baby 婴儿，幼畜['beibi] 
see 看见[si:] 
zebra 斑马['zi:brə]
run 跑[rʌn] 
jump 跳[dʒʌmp]
count 数[kaunt] 
lion 狮子['laiən]
tiger 老虎['taiɡə] 
sit 坐[sit] 
exercise 练习['eksəsaiz]
out 出，在外[aut] 
listen 听['lisən] 
read 读[ri:d] 
after 在…后面 ['ɑ:ftə]
stop 停止[stɔp] 
wait 等待[weit] 
evening 傍晚，晚上['i:vniŋ]
cinema 电影院['sinəmə] 
crossing 十字路口['krɔ:siŋ] 
light 灯，光['lait]
must 必须，应该[mʌst] 
yet 还(没有)…还(不)…[jet] 
o'clock 点钟[ə'klɔk]
morning 早晨，上午['mɔ:niŋ] 
get 得到[ɡet] 
