pen                      钢笔
pencil                   铅笔
ruler                    尺子
eraser                   橡皮擦
crayon                   蜡笔
book                     书
bag                      包
sharpener                卷笔刀
school                   学校
head                     头
face                     脸
nose                     鼻子
mouth                    嘴
eye                      眼睛
ear                      耳朵
arm                      胳膊
finger                   手指
leg                      腿
foot                     脚
body                     身体
red                      红色的
yellow                   黄色的
green                    绿色的
blue                     蓝色的
purple                   紫色的
white                    白色的
black                    黑色的
orange                   橙色的
pink                     粉色的
brown                    棕色的
cat                      猫
dog                      狗
monkey                   猴子
panda                    熊猫
rabbit                   兔子
duck                     鸭子
pig                      猪
bird                     鸟
bear                     熊
elephant                 大象
mouse                    老鼠
squirrel                 松鼠
cake                     蛋糕
bread                    面包
chicken                  鸡
Coke                     可乐
juice                    果汁
milk                     牛奶
water                    水
tea                      茶
coffee                   咖啡
one                      一
two                      二
three                    三
four                     四
five                     五
six                      六
seven                    七
eight                    八
nine                     九
ten                      十
doll                     玩具娃娃
boat                     小船
ball                     球
kite                     风筝
balloon                  气球
car                      小汽车
plane                    飞机
name                     名字
class                    班级
good                     好的
new                      新的
from                     来自
we                       我们
chair                    椅子
wall                     墙
box                      盒子
floor                    地板
at                       在
zoo                      动物园
park                     公园
classroom                教室
factory                  工厂
square                   广场
capital                  首都
China                    中国
love                     爱
motherland               祖国
has                      有
star                     星星
our                      我们的
national                 国家的
cap                      帽子
coat                     上衣
have                     有
long                     长的
short                    短的
big                      大的
small                    小的
or                       或者
guess                    猜
hey                      嗨
tall                     高的
old                      老的
young                    年轻的
Chinese                  中国人
English                  英语
over                     越过
there                    那儿
American                 美国人
other                    另外的
an                       一(个)
apple                    苹果
orange                   桔子
hand                     手
egg                      蛋
umbrella                 伞
home                     家
rain                     雨;下雨
now                      现在
much                     许多
eleven                   十一
twelve                   十二
minus                    减去
plus                     加上
here                     这儿
money                    钱
they                     他(她，它)们
twenty                   二十
these                    这些
those                    那些
door                     门
window                   窗户
picture                  图画
talk                     谈话
about                    关于
flower                   花
some                     一些
lake                     湖
skirt                    裙子
clean                    清洁的
shirt                    (男式)衬衫
dirty                    脏的
cup                      杯子
glass                    玻璃
sure                     当然
and                      和
grade                    年级
maths                    数学
your                     你们的
their                    他(她，它)们的
pioneer                  先锋
scarf                    围巾
both                     两者
all                      全部
peasant                  农民
soldier                  士兵
doctor                   医生
play                     玩
do                       做
pingpong                 乒乓球
right                    正确的
join                     参加
them                     他(她，它)们(宾格)
