paper                    纸
piece                    片
ink                      墨水
bottle                   瓶
give                     给
me                       我(宾格)
please                   请
thank                    谢谢
want                     要
write                    写
letter                   信
any                      任何
Thanks                   谢谢
go                       去
open                     开
close                    关
blackboard               黑板
clean                    把…弄干净
football                 足球
match                    比赛
between                  在(两者)之间
time                     时候
but                      但是
jacket                   外衣，夹克
basketball               篮球
TV                       电视
radio                    收音机
bat                      球拍
maybe                    也许，可能
knife                    小刀
sorry                    对不起，抱歉
for                      为
can                      能够
make                     做，制作
near                     靠近
playground               操场
model                    模型
sky                      天空
bright                   明亮的
above                    在…上方
slogan                   标语，口号
world                    世界
many                     许多
lesson                   功课
like                     喜欢
table                    桌子
let                      让
us                       我们(宾格)
toy                      玩具
fly                      飞
house                    房子
tree                     树
river                    河流
front                    前面，前部
then                     那么，然后
cow                      母牛
behind                   在..后面
goose                    鹅
geese                    鹅(复数)
moon                     月亮
air                      空气
mountain                 山
think                    想，认为
so                       这样，这么，所以
animal                   动物
life                     生命，生活
which                    哪一个
nineteen                 十九
thirty                   三十
twenty                   one二十一
thirty                   three三十三
Miss                     女士,小姐
people                   人，人民
family                   家，家庭
day                      白天
week                     周，星期
today                    今天
baby                     婴儿，幼畜
see                      看见
zebra                    斑马
run                      跑
jump                     跳
count                    数
lion                     狮子
tiger                    老虎
sit                      坐
exercise                 练习
out                      出，在外
listen                   听
read                     读
after                    在…后面
stop                     停止
wait                     等待
evening                  傍晚，晚上
cinema                   电影院
crossing                 十字路口
light                    灯，光
must                     必须，应该
yet                      还(没有)…还(不)…
o'clock                  点钟
morning                  早晨，上午
get                      得到
up                       向上
half                     半
past                     过
breakfast                早餐
draw                     画
clock                    钟
tell                     告诉
her                      她(宾格)
stand                    站，站立
ask                      问，提问
question                 问题
answer                   回答
help                     帮助
quarter                  四分之一;一刻
game                     游戏
study                    学习，研究
supper                   晚饭
watch                    观看
homework                 家庭作业
Mr.                      先生(mister的缩写)
son                      儿子
daughter                 女儿
newspaper                报纸
by                       在…旁，靠近
story                    故事
with                     和…用…
sweep                    扫
mop                      擦，抹，拖
ready                    准备好了
still                    还，仍旧
lunch                    午餐
room                     房间
hurry                    匆忙，赶紧
fox                      狐狸
news                     消息，新闻
down                     向下
very                     很，非常
way                      路
well                     健康的
away                     离
why                      (表吃惊，满意等)哎呀!为什么?

board                    写字板
computer                 计算机
fan                      扇子，电扇
classmate                同学
seat                     座位
what                     什么
notebook                 笔记本
fat                      胖的
heavy                    重的;沉重的
may                      可以
thin                     瘦的
strong                   健壮的[strɔŋ
quiet                    安静的
his                      他的
photo                    照片
teacher                  教师
student                  学生
music                    音乐
science                  科学
sports                   体育运动
painting                 绘画
boy                      男孩
girl                     女孩
bathroom                 卫生间
bedroom                  卧室
kitchen                  厨房
fridge                   冰箱
key                      钥匙
desk                     课桌;书桌
rice                     米饭
noodle                   面条
beef                     牛肉
vegetable                蔬菜
soup                     汤
hungry                   饥饿的
chopsticks               筷子(复数)
spoon                    勺子
plate                    盘子
fork                     叉子
pass                     传递
try                      试一下
show                     展示
food                     食物
parents                  父母
uncle                    叔叔;舅舅
aunt                     姑姑;婶;姨
member                   成员
only                     只有;仅仅
puppy                    小狗
sister                   姐妹
brother                  兄弟
father                   父亲;爸爸
driver                   司机
farmer                   农民
nurse                    护士
it                       它
class                    课程
dress                    连衣裙
T-shirt                  T恤衫
no                       不;不是
not                      不;不是的
warm                     暖和的
cold                     寒冷的
cool                     凉爽的
jean                     牛仔裤
pant                     长裤
socks                    袜子
shoes                    鞋子
snowy                    下雪的
sunny                    晴朗的
banana                   香蕉
pear                     梨
watermelon               西瓜['wɔ:təmelən
horse                    马
Monday                   星期一
Tuesday                  星期二
Wednesday                星期三
Thursday                 ]星期四
Friday                   星期五
Saturday                 星期六
Sunday                   星期天
