一年级                     
pen                      钢笔
pencil                   铅笔
ruler                    尺子
eraser                   橡皮
crayon                   蜡笔
book                     书
bag                      书包
sharpener                卷笔刀
school                   学校
head                     头
face                     脸
nose                     鼻子
mouth                    嘴
eye                      眼睛
ear                      耳朵
arm                      胳膊
finger                   手指
leg                      腿
foot                     脚
body                     身体
red                      红色的
yellow                   黄色的
green                    绿色的
blue                     蓝色的
purple                   紫色的
white                    白色的
black                    黑色的
orange                   橙色的
pink                     粉色的
brown                    棕色的
cat                      猫
dog                      狗
monkey                   猴子
panda                    熊猫
rabbit                   兔子
duck                     鸭子
pig                      猪
bird                     鸟
bear                     熊
elephant                 大象
mouse                    老鼠
squirrel                 松鼠
cake                     蛋糕
bread                    面包
hamburger                汉堡包
chicken                  鸡肉
Coke                     可乐
juice                    果汁
milk                     牛奶
water                    水
tea                      茶
coffee                   咖啡
one                      一
two                      二
three                    三
four                     四
five                     五
six                      六
seven                    七
eight                    八
nine                     九
ten                      十
doll                     玩具娃娃
boat                     小船
ball                     球
kite                     风筝
balloon                  气球
car                      小汽车
plane                    飞机
name                     名字
class                    班
good                     好的
new                      新的
from                     从
we                       我们
chair                    椅子
wall                     墙
box                      盒子
floor                    地板
at                       在
zoo                      动物园
park                     公园
classroom                教室
factory                  工厂
square                   广场capital                  首都
China                    中国
love                     爱
motherland               祖国
has                      有
star                     星
our                      我们的
national                 国家的
cap                      帽子
coat                     上衣
have                     有
long                     长的
short                    短的
big                      大的
small                    小的or                       或,还是guess                    猜hey                      嗨tall                     高的old        
