
rule                     尺子
schoolbag                书包
magazine                 杂志
dictionary               词典
hair                     头发
ant                      蚂蚁
fish                     鱼
eagle                    鹰
beaver                   海狸
snake                    蛇
kangaroo                 袋鼠
deer                     鹿
giraffe                  长颈鹿
goosr                    鹅
hen                      母鸡
turkey                   火鸡
lamb                     小羊
sheep                    绵羊
goat                     山羊
donkey                   驴
squid                    鱿鱼
lobster                  龙虾
shark                    鲨鱼
seal                     海豹
friend                   朋友
mother                   母亲
man                      男人
woman                    女人
lady                     女士
mom                      妈妈
dad                      爸爸
grandma                  奶奶
grandmother              外祖母
grandpa                  爷爷
grandfather              外祖父 
cousin                   堂(表)兄弟；堂(表)姐妹
kid                      小孩
queen                    女王
visitor                  参观者
neighbour                邻居
principal                校长
tourist                  旅行者
rober                    机器人
singer                   歌唱家
writer                   作家
actor                    男演员
actress                  女演员
artist                   画家
engineer                 工程师
accountant               会计
policeman                警察
saleperson               销售员
cleaner                  清洁工
assistant                售货员
tofu                     豆腐
cookie                   曲奇饼
biscuit                  饼干
jam                      果酱
meat                     肉
pork                     猪肉
mutton                   羊肉
salad                    沙拉
ice                      冰
ice-cream                冰淇淋
dinner                   正餐
grape                    葡萄
eggplant                 茄子
tomato                   西红柿
potato                   土豆
peach                    桃
strawberry               草莓
cucmber                  黄瓜
onion                    洋葱
carrot                   胡萝卜
cabbage                  卷心菜
jeans                    牛仔裤
pants                    长裤
sweater                  毛衣
raincoat                 雨衣
shorts                   短裤
sneakers                 运动鞋
slippers                 拖鞋
sandals                  凉鞋
boots                    靴子
hat                      帽子
tie                      领带
gloves                   手套
bike                     自行车
bus                      公共汽车
train                    火车
ship                     轮船
yacht                    快艇
taxi                     出租车
jeep                     吉普车
van                      有盖(小)货车
subway                   地铁
motorcycle               摩托车
bed                      床
board                    木板
curtain                  窗帘
closet                   壁橱
mirror                   镜子
present                  礼物
walkman                  随身听
lamp                     台灯
phone                    电话
sofa                     沙发
shelf                    书架
air-conditioner          空调
lock                     锁
chart                    图表
pot                      锅
gift                     礼物
zipper                   拉链
violin                   小提琴
yo-yo                    溜溜球
nest                     鸟窝
hole                     洞
tube                     管子
toothbrush               牙刷
menu                     菜单
e-card                   电子卡片
e-mail                   电子邮件
medicine                 药
sunglasses               太阳镜
library                  图书馆
hospital                 医院
cineama                  电影院
bookstore                书店
farm                     农场
garden                   花园
study                    书房
canteen                  食堂
gym                      体育馆
wsahroom                 卫生间
flat                     公寓
company                  公司
supermarket              超市
bank                     银行
country                  国家
village                  乡村
city                     城市
America                  美国
UK                       联合王国
England                  英国
Canada                   加拿大
Australia                澳大利亚
London                   伦敦
Sydney                   悉尼
Moscow                   莫斯科
Cairo                    开罗
hot                      火热的
rainy                    下雨的
windy                    有风的
cloudy                   多云的
stream                   河；溪
forest                   森林
path                     小道
road                     公路
bridge                   桥
building                 建筑物
cloud                    云
sun                      太阳
rainbow                  彩虹
wind                     风
grass                    草
seed                     种子
sprout                   苗
rose                     玫瑰
leaf                     叶子
weekend                  周末
January                  一月
February                 二月
March                    三月
April                    四月
May                      五月
June                     六月
July                     七月
August                   八月
September                九月
October                  十月
November                 十一月
December                 十二月
spring                   春天
summer                   夏天
autumn                   秋天
winter                   冬天
south                    南
north                    北
east                     东
west                     西
left                     左
right                    右
thirteen                 十三
fourteen                 十四
fifteen                  十五
sixteen                  十六
seventeen                十七
eighteen                 十八
forty                    四十
fifty                    五十
sixty                    六十
seventy                  七十
eighty                   八十
ninety                   九十
hundred                  百
first                    第一
second                   第二
third                    第三
fourth                   第四
fifth                    第五
eighth                   第八
ninth                    第九
twelfth                  第十二
twentieth                第二十
active                   活跃的
nice                     好看的
kind                     和蔼可亲的
strict                   严格的
smart                    聪明的
funny                    滑稽可笑的
tasty                    好吃的
sweet                    甜的
salty                    咸的
sour                     酸的
fresh                    新鲜的
favourite                最喜爱的
tired                    疲劳的
excited                  兴奋的
angry                    生气的
happy                    高兴的
bored                    无聊的
sad                      忧愁的
taller                   更高的
shorter                  更矮的
stronger                 更强壮的
older                    年龄更大的
younger                  更年轻的
bigger                   更大的
heavier                  更重的
longer                   更长的
thinner                  更瘦的
smaller                  更小的
fine                     好的
great                    很好的
cute                     逗人喜爱的
little                   小的
lovely                   可爱的
beautiful                漂亮的
colourful                色彩鲜艳的
pretty                   漂亮的
cheap                    便宜的
expensive                昂贵的
juicy                    多汁的
tender                   嫩的
healthy                  健康的
ill                      有病的
helpful                  有帮助的
high                     高的
easy                     简单的
proud                    骄傲的
sick                     有病的
better                   更好的
higher                   更高的
