
invitation               邀请卡
glue                     胶水
scissors                 剪刀
party                    聚会
cut                      剪,切
stick                    粘贴
next                     其次
finally                  最后
practice                 练习
sport                    运动
game                     比赛,竞赛
jogging                  慢跑
hiking                   徒步旅行
tennis                   网球.网球运动
cycling                  自行车赛.骑自行车兜风
hockey                   曲棍球
baseball                 棒球,棒球运动
also                     也,同样
sometimes                有时,不时
often                    常常,经常
concert                  音乐会,演奏会
puzzle                   智力玩具,拼图玩具
drive                    开车,驾车
cool                     棒极了,酷的
exciting                 激动人心的
just                     只是,不过
so-so                    平常的,不好不坏的
downstairs               往楼下,在楼下
touch                    触摸,碰
climb                    爬,攀登
careful                  小心的,仔细的
dangerous                危险的
sidewalk                 人行道
underpass                地下通道
footbridge               人行桥
crosswalk                人行横道
fence                    护栏
use                      使用
safe                     安全的
cross                    穿越,横跨
rule                     规则,惯例
cook                     厨师
mailman                  邮递员.邮差
salesclerk               店员,售货员
hairdresser              理发师,美容师
dentist                  牙科医生
store                    商店
hotel                    旅馆
community                社区
drugstore                药店
newspaper                报摊
bakery                   面包房
restaurant               饭馆
forward                  向前
museum                   博物馆
gallery                  美术馆
university               大学
stadium                  体育馆
street                   街道
France                   法国
Japan                    日本
Paris                    巴黎
Tokyo                    东京
Disneyland               迪斯尼乐园
beach                    海滩
swim                     游泳
vacation                 假期
Thailand                 泰国
Tibet                    西藏
hobby                    (业余)爱好
sew                      (用针线)缝
knit                     编织;针织
travel                   旅行
hike                     远足;徒步;旅行
communication            交流;联络
mailbox                  邮筒
